,length,nb_contigs,nb_proteins,coding_density,GC,completeness,contamination,taxo:checkm,strain_heterogeneity
Orbro_2_megahit_metabat_bin-1881,17734,2,13,0.6502763054020525,0.4314311492049171,0.0,0.0,root,0.0
Orbro_2_megahit_metabat_bin-1141,36028,15,25,0.6478294659709115,0.4687187742866659,8.33,0.0,root,0.0
Orbro_2_megahit_metabat_bin-0509,24142,7,15,0.6860657774832243,0.6617098831911192,0.0,0.0,root,0.0
Orbro_2_megahit_metabat_bin-2171,10280,3,17,0.7879377431906615,0.5350194552529183,0.0,0.0,root,0.0
Orbro_2_megahit_metabat_bin-2164,12413,4,13,0.7854668492709257,0.5870458390397164,0.0,0.0,root,0.0
Orbro_2_megahit_metabat_bin-1009,15643,4,16,0.7276097935178674,0.5963689829316627,0.0,0.0,root,0.0
Orbro_2_megahit_metabat_bin-2011,63758,26,68,0.8081338812384328,0.49789830295806015,0.0,0.0,root,0.0
Orbro_2_megahit_metabat_bin-1283,28036,7,32,0.6172064488514767,0.5153017548865744,0.0,0.0,root,0.0
Orbro_2_megahit_metabat_bin-0681,55752,9,79,0.7731919931123548,0.4515353709283972,0.0,0.0,root,0.0
Orbro_2_megahit_metabat_bin-1153,326311,30,459,0.9286999212407795,0.3945990175017085,0.0,0.0,root,0.0
Orbro_2_megahit_metabat_bin-1777,16630,4,17,0.8641010222489477,0.5558628983764281,0.0,0.0,root,0.0
Orbro_2_megahit_metabat_bin-2979,22553,11,31,0.8038398439232031,0.6494923070101538,1.04,0.0,root,0.0
Orbro_2_megahit_metabat_bin-0956,26494,14,29,0.6834755038876726,0.5578244130746585,0.0,0.0,root,0.0
Orbro_2_megahit_metabat_bin-0070,60732,2,72,0.8627247579529738,0.6313640255548969,0.0,0.0,root,0.0
Orbro_2_megahit_metabat_bin-2014,16104,2,13,0.7647168405365127,0.5614754098360656,0.0,0.0,root,0.0
Orbro_2_megahit_metabat_bin-2426,17593,2,16,0.9808446541237993,0.25282782925027,0.0,0.0,root,0.0
Orbro_2_megahit_metabat_bin-3141,5486828,405,4989,0.8702071579426218,0.6519360548571962,98.28,15.36,k__Bacteria,62.96
Orbro_2_megahit_metabat_bin-1389,10335,5,11,0.66966618287373,0.6488630865989357,0.0,0.0,root,0.0
