------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                                       Marker lineage            # genomes   # markers   # marker sets    0     1     2    3    4   5+   Completeness   Contamination   Strain heterogeneity  
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Lainio_1_megahit_metabat_bin-1659        k__Bacteria (UID2982)             88         230           148         0    229    0    1    0   0       100.00           1.35               0.00          
  Lainio_1_megahit_metabat_bin-1199    o__Rhodospirillales (UID3754)         63         336           201         0    329    7    0    0   0       100.00           1.79              42.86          
  Lainio_1_megahit_metabat_bin-3184    o__Sphingomonadales (UID3310)         26         569           293         1    568    0    0    0   0       99.93            0.00               0.00          
  Lainio_1_megahit_metabat_bin-1070        k__Bacteria (UID2569)            434         278           186         8    261    9    0    0   0       99.86            3.27              44.44          
  Lainio_1_megahit_metabat_bin-3504         k__Bacteria (UID203)            5449        104            58         1     10    42   41   9   1       99.84           148.09             36.68          
  Lainio_1_megahit_metabat_bin-4130        k__Bacteria (UID2982)             88         230           148         1    228    1    0    0   0       99.66            0.68               0.00          
  Lainio_1_megahit_metabat_bin-1575     o__Burkholderiales (UID4000)        193         427           214         1    421    4    1    0   0       99.53            0.19              42.86          
  Lainio_1_megahit_metabat_bin-1741   c__Betaproteobacteria (UID3959)       235         420           211         1    417    2    0    0   0       99.53            0.30               0.00          
  Lainio_1_megahit_metabat_bin-3120      p__Bacteroidetes (UID2591)         364         303           203         1    301    1    0    0   0       99.51            0.49               0.00          
  Lainio_1_megahit_metabat_bin-2426    o__Rhodospirillales (UID3754)         63         336           201         1    335    0    0    0   0       99.50            0.00               0.00          
  Lainio_1_megahit_metabat_bin-3733        k__Bacteria (UID2570)            433         272           182         2    264    6    0    0   0       99.18            2.75               0.00          
  Lainio_1_megahit_metabat_bin-2950        k__Bacteria (UID1453)            901         171           117         1    168    2    0    0   0       99.15            1.28               0.00          
  Lainio_1_megahit_metabat_bin-1817        k__Bacteria (UID1453)            901         171           117         1    166    4    0    0   0       99.15            2.42              50.00          
  Lainio_1_megahit_metabat_bin-1711        k__Bacteria (UID1453)            901         171           117         1    167    3    0    0   0       99.15            2.14              33.33          
  Lainio_1_megahit_metabat_bin-0232        k__Bacteria (UID1453)            901         171           117         1    168    2    0    0   0       99.15            1.28               0.00          
  Lainio_1_megahit_metabat_bin-0832     o__Burkholderiales (UID4000)        193         427           214         4    413    10   0    0   0       99.07            0.70              60.00          
  Lainio_1_megahit_metabat_bin-4318      p__Bacteroidetes (UID2591)         364         303           203         2    298    3    0    0   0       99.01            0.76              33.33          
  Lainio_1_megahit_metabat_bin-2324      p__Bacteroidetes (UID2591)         364         303           203         2    297    4    0    0   0       99.01            1.01              25.00          
  Lainio_1_megahit_metabat_bin-4113     o__Burkholderiales (UID4000)        193         427           214         4    412    11   0    0   0       98.93            1.73               9.09          
